node_id,lat,lon,junction_complexity
248459794,12.9743274,77.6077326,3
248459797,12.9720722,77.6073585,3
248459808,12.9757991,77.6016681,4
248459809,12.9754775,77.60162,3
248459811,12.9729732,77.6015349,3
248459812,12.9728523,77.603259,3
248459820,12.9751867,77.6041502,4
248459821,12.975579,77.6025567,4
248459827,12.9727994,77.6012741,3
248459829,12.9703365,77.6007447,3
248459833,12.9755781,77.5998782,3
248459838,12.9730942,77.6010663,3
248459840,12.9712043,77.5977545,4
248459848,12.9718009,77.5935434,3
248459849,12.9717429,77.5939966,3
248459877,12.9714821,77.6060749,3
248459878,12.9704155,77.6102879,4
248462897,12.9645621,77.6009974,3
248462898,12.9643833,77.6015927,1
248462899,12.9636976,77.5977154,3
248462910,12.9627115,77.5984932,3
248462911,12.9622496,77.5990433,3
248462912,12.9618708,77.5979653,3
248462913,12.9638018,77.606648,3
248462918,12.9647391,77.6036891,4
248462919,12.9647762,77.6046595,4
248462931,12.9640037,77.6036289,4
248462939,12.9636064,77.6044982,3
248462952,12.9630993,77.6051238,3
248462957,12.9658787,77.6046845,3
248525401,12.9555213,77.5857168,4
248525402,12.9542788,77.5854347,3
248525409,12.9538564,77.5913354,4
248525413,12.9562407,77.5837849,3
248550897,12.9600584,77.6043615,1
248550898,12.9597525,77.6024669,3
248550899,12.9612495,77.6029614,3
248550900,12.9607512,77.6027806,3
248550904,12.960664,77.6030997,3
248550905,12.9596455,77.6028446,3
248550906,12.9619474,77.6041626,3
248550920,12.9609406,77.6045284,3
248550921,12.96513,77.6026246,3
248550922,12.9651443,77.6037013,3
248550924,12.9617224,77.6027042,3
248552465,12.8955493,77.6078539,4
248552469,12.8929411,77.606962,3
248552475,12.8956002,77.6068266,3
248552476,12.8916924,77.6045045,3
248552482,12.8916568,77.6083088,3
248552484,12.8921505,77.60948,3
248552485,12.8924034,77.6099669,3
248552486,12.8929011,77.610479,4
248552487,12.894595,77.6109579,3
248552488,12.8962132,77.6109797,3
248615938,12.9043054,77.5310748,3
248615970,12.9040194,77.5107617,4
248615981,12.9045533,77.5055999,4
248671281,12.9477988,77.5342539,3
248671287,12.9429922,77.5261057,3
248677029,12.9228405,77.4959259,4
248677041,12.918129,77.4908532,3
248677256,12.9104614,77.4821979,3
248677965,12.9313056,77.5064115,4
248678541,12.9439085,77.530118,3
248678551,12.9339369,77.5390381,4
248678577,12.9184896,77.5641977,3
248678728,12.9219651,77.5601813,4
248679505,12.9057665,77.5427034,4
248679597,12.9266364,77.5612616,4
248679599,12.9288073,77.562454,4
248679603,12.9285958,77.5679338,3
248679644,12.9288776,77.566296,4
248680023,12.9114094,77.5729691,4
248680036,12.9294201,77.5736196,4
248762336,12.9098772,77.5273366,3
248762337,12.9103057,77.5274329,3
248762338,12.910328,77.5261547,3
248762342,12.9110484,77.5276117,3
248762343,12.9110628,77.5256912,4
248763365,12.9098958,77.5262612,3
248763650,12.909421,77.5272312,3
248764073,12.9138805,77.5281002,3
248764084,12.912779,77.5281538,3
248764611,12.9112384,77.5213968,3
248765298,12.9119532,77.5278794,3
248765431,12.915265,77.5161633,4
248765657,12.912443,77.5175287,3
248765755,12.9082319,77.5210592,4
248766831,12.9171902,77.580334,4
248773230,12.9167651,77.5181427,3
248773351,12.9090117,77.5171419,3
248774377,12.9326692,77.5161816,4
248776585,12.9518089,77.5767726,3
248776656,12.9367979,77.5800138,5
248776658,12.9366976,77.583966,4
248776663,12.9369042,77.5738183,4
248777032,12.9385387,77.5666832,4
248777033,12.9377073,77.5666979,4
248777037,12.9348965,77.5668842,4
248791461,12.9262828,77.5208521,4
248791467,12.9245212,77.5229616,3
248792634,12.9260614,77.517938,4
248793761,12.9161346,77.5135075,3
248794493,12.9208641,77.5072812,3
248794497,12.9188653,77.509164,3
248796075,12.9170801,77.5085317,3
248796185,12.9219015,77.5089291,4
248798476,12.909236,77.5074775,3
248798492,12.9088687,77.5076379,3
248799811,12.9115302,77.5261201,4
248800714,12.9046471,77.522425,1
248806520,12.931753,77.5396659,3
248806521,12.9321069,77.5396668,3
248806522,12.9324286,77.5396403,3
248807833,12.9302406,77.5396034,3
248807926,12.9301358,77.5416152,4
248807956,12.9251552,77.5405703,3
248808633,12.9362347,77.5597809,5
248808760,12.9376026,77.5627976,3
248808761,12.9380328,77.5630189,4
248808762,12.9385616,77.5633173,3
248808763,12.9388176,77.5635488,3
248808769,12.9418075,77.5650828,3
248808777,12.9437041,77.5736802,4
248808932,12.9436325,77.5678527,5
248808934,12.9436713,77.5710934,4
248808937,12.943641,77.5768684,4
248808938,12.9436673,77.5773184,3
248808942,12.9437066,77.585037,3
248809038,12.9295951,77.5522076,4
248809043,12.9277134,77.5514022,4
248809057,12.9299808,77.566685,4
248809073,12.9299689,77.5680782,3
248809122,12.9309796,77.5736448,3
248809625,12.9244345,77.576951,3
248809627,12.9263623,77.5770469,3
248809632,12.9316054,77.5758736,3
248809637,12.9346925,77.5752026,3
248809643,12.9390389,77.5753333,3
248809645,12.9406056,77.5753178,3
248809806,12.9349686,77.5716856,4
248809811,12.9376572,77.5718216,4
248809813,12.9387008,77.5718002,4
248809814,12.9390574,77.571568,4
248810005,12.9242534,77.5660625,3
248810124,12.9394233,77.5674689,3
248810126,12.9385539,77.5674861,3
248810127,12.9377765,77.5674946,4
248810128,12.9369154,77.5675301,4
248810129,12.936517,77.567535,4
248810130,12.9361167,77.5675589,3
248810135,12.9331551,77.5675836,4
248810153,12.9397598,77.5659139,4
248810154,12.9393444,77.5659136,4
248810155,12.9389489,77.5659211,4
248810158,12.9376855,77.5659742,4
248810165,12.934444,77.5661009,5
248810166,12.9335143,77.5658068,4
248810168,12.9323733,77.5654862,3
248810256,12.9333114,77.5668205,4
248810257,12.9330754,77.5679511,4
248810336,12.9298879,77.5635905,3
248810503,12.9435579,77.5851697,3
248810505,12.9393347,77.5850961,3
248810509,12.9329471,77.5848358,3
248810551,12.9393586,77.5840516,4
248810555,12.9421222,77.5819148,3
248810560,12.9403242,77.5818862,3
248810561,12.9398536,77.5818787,4
248810563,12.9389238,77.581864,3
248810564,12.9385593,77.5818582,3
248810568,12.9367473,77.5818294,3
248810589,12.9403067,77.582824,4
248810591,12.9393716,77.5828166,4
248810594,12.9367342,77.5827,4
248810771,12.9397266,77.5768971,4
248810775,12.9368476,77.5769168,3
248810997,12.9417836,77.5642898,4
248811008,12.9432189,77.5449317,4
248811014,12.9434112,77.5367838,3
248811015,12.9406212,77.5473222,3
248811016,12.9406251,77.5469419,3
248838834,12.9462103,77.5715682,4
248838838,12.9421664,77.5711684,4
248838840,12.939523,77.5712756,4
248838855,12.9395393,77.5697037,3
248838858,12.9394652,77.5682755,4
248838859,12.9393825,77.5666834,4
248838862,12.9392796,77.5639969,4
248838864,12.9392347,77.5628935,4
248838866,12.9391702,77.5615394,4
248838867,12.9392782,77.5600458,4
248838884,12.9379345,77.5572852,3
248838886,12.9394914,77.5575507,4
248838888,12.9434694,77.5582438,5
248838889,12.9445373,77.5584095,4
248838892,12.944154,77.5537127,3
